epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
122,0.46912,0.63202,0.72975,3.31e-04,20.8
123,0.44320,nan,nan,3.23e-04,22.2
124,0.42145,0.61076,0.68418,3.16e-04,20.6
125,0.38351,nan,nan,3.09e-04,22.5
126,0.37100,0.65179,0.73709,3.01e-04,20.8
127,0.34032,nan,nan,2.94e-04,22.5
128,0.33784,0.69489,0.77793,2.87e-04,21.7
129,0.33068,nan,nan,2.80e-04,23.2
130,0.30530,0.70153,0.78759,2.73e-04,20.4
131,0.30215,nan,nan,2.66e-04,21.9
132,0.29505,0.66889,0.75808,2.59e-04,20.7
133,0.29794,nan,nan,2.52e-04,22.5
134,0.30394,0.69486,0.77419,2.45e-04,20.3
135,0.27954,nan,nan,2.39e-04,22.3
136,0.27887,0.67847,0.74970,2.32e-04,20.3
137,0.28060,nan,nan,2.25e-04,23.0
138,0.28140,0.69274,0.75812,2.19e-04,21.1
139,0.27899,nan,nan,2.12e-04,22.9
140,0.27346,0.72265,0.78657,2.06e-04,20.8
141,0.27213,nan,nan,2.00e-04,22.9
142,0.27874,0.69860,0.76596,1.94e-04,20.9
143,0.27208,nan,nan,1.87e-04,22.7
144,0.26432,0.68771,0.76190,1.81e-04,21.1
145,0.25724,nan,nan,1.75e-04,22.3
146,0.26148,0.69678,0.77192,1.69e-04,21.5
147,0.26061,nan,nan,1.63e-04,21.9
148,0.25735,0.69474,0.76056,1.58e-04,21.0
149,0.24848,nan,nan,1.52e-04,22.3
150,0.24623,0.69718,0.78338,1.46e-04,21.1
151,0.25813,nan,nan,1.41e-04,22.6
152,0.25237,0.72065,0.79467,1.36e-04,20.5
153,0.24634,nan,nan,1.30e-04,21.7
154,0.25657,0.70577,0.77570,1.25e-04,20.7
155,0.25275,nan,nan,1.20e-04,21.3
156,0.24645,0.70697,0.78318,1.15e-04,20.3
157,0.23607,nan,nan,1.10e-04,22.9
158,0.24156,0.70444,0.79236,1.05e-04,20.7
159,0.25036,nan,nan,1.00e-04,22.4
160,0.23313,0.70196,0.77680,9.55e-05,20.9
161,0.23656,nan,nan,9.09e-05,22.2
162,0.24630,0.70688,0.78546,8.65e-05,20.4
163,0.23101,nan,nan,8.21e-05,22.0
164,0.22754,0.71656,0.78473,7.78e-05,20.6
165,0.22121,nan,nan,7.37e-05,23.1
166,0.22494,0.71173,0.79442,6.96e-05,21.0
167,0.22280,nan,nan,6.57e-05,22.1
168,0.22807,0.71621,0.79749,6.18e-05,20.8
169,0.22458,nan,nan,5.81e-05,22.0
170,0.22513,0.71840,0.79897,5.45e-05,20.8
