epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
122,0.18587,0.63877,0.74359,3.31e-04,20.8
123,0.18119,nan,nan,3.23e-04,21.2
124,0.18628,0.60454,0.72043,3.16e-04,20.9
125,0.18449,nan,nan,3.09e-04,21.3
126,0.18331,0.62153,0.71144,3.01e-04,20.5
127,0.18834,nan,nan,2.94e-04,21.0
128,0.18372,0.61732,0.71577,2.87e-04,20.5
129,0.18421,nan,nan,2.80e-04,21.0
130,0.18616,0.62890,0.71429,2.73e-04,20.8
131,0.18296,nan,nan,2.66e-04,21.0
132,0.18302,0.62413,0.74039,2.59e-04,20.5
133,0.17451,nan,nan,2.52e-04,20.5
134,0.16863,0.62840,0.72113,2.45e-04,20.9
135,0.19087,nan,nan,2.39e-04,21.9
136,0.17794,0.63056,0.71429,2.32e-04,21.3
137,0.17676,nan,nan,2.25e-04,22.1
138,0.16594,0.61524,0.72502,2.19e-04,21.4
139,0.17680,nan,nan,2.12e-04,21.4
140,0.18030,0.60308,0.71111,2.06e-04,21.9
141,0.18353,nan,nan,2.00e-04,22.4
142,0.18986,0.58356,0.69217,1.94e-04,21.3
143,0.17621,nan,nan,1.87e-04,21.7
144,0.17357,0.62689,0.73273,1.81e-04,21.2
145,0.16379,nan,nan,1.75e-04,21.7
146,0.16626,0.64307,0.73156,1.69e-04,20.9
147,0.16818,nan,nan,1.63e-04,20.9
148,0.16802,0.63231,0.73741,1.58e-04,21.2
149,0.16861,nan,nan,1.52e-04,21.9
150,0.17978,0.63888,0.72993,1.46e-04,20.6
151,0.16820,nan,nan,1.41e-04,21.2
152,0.18280,0.60989,0.73709,1.36e-04,20.6
153,0.17581,nan,nan,1.30e-04,21.9
154,0.17125,0.61867,0.73333,1.25e-04,21.2
155,0.17127,nan,nan,1.20e-04,22.1
156,0.16490,0.64946,0.74831,1.15e-04,21.3
157,0.15948,nan,nan,1.10e-04,21.6
158,0.16789,0.62214,0.74735,1.05e-04,20.5
159,0.16898,nan,nan,1.00e-04,21.5
160,0.17545,0.62952,0.73706,9.55e-05,21.1
161,0.15720,nan,nan,9.09e-05,21.2
162,0.17272,0.63606,0.73542,8.65e-05,21.3
163,0.17032,nan,nan,8.21e-05,21.6
164,0.15299,0.65243,0.74666,7.78e-05,20.9
165,0.16925,nan,nan,7.37e-05,21.0
166,0.17245,0.61907,0.74338,6.96e-05,20.6
167,0.15868,nan,nan,6.57e-05,21.0
168,0.17357,0.64848,0.74084,6.18e-05,20.9
169,0.16425,nan,nan,5.81e-05,21.0
170,0.16370,0.63850,0.73156,5.45e-05,21.0
171,0.16387,nan,nan,5.10e-05,20.6
172,0.16071,0.62604,0.74654,4.76e-05,20.6
173,0.16734,nan,nan,4.43e-05,21.1
174,0.15803,0.64431,0.74301,4.11e-05,20.4
175,0.16563,nan,nan,3.81e-05,21.2
176,0.16565,0.63760,0.74251,3.51e-05,20.3
177,0.16552,nan,nan,3.23e-05,20.6
178,0.16752,0.62503,0.73688,2.96e-05,20.3
179,0.16186,nan,nan,2.70e-05,20.9
180,0.15806,0.62614,0.73423,2.45e-05,20.4
181,0.16375,nan,nan,2.21e-05,21.0
182,0.17397,0.62790,0.73565,1.99e-05,20.7
183,0.15862,nan,nan,1.77e-05,20.3
184,0.16199,0.63462,0.73813,1.57e-05,21.0
185,0.15803,nan,nan,1.38e-05,20.8
186,0.15918,0.63689,0.74251,1.20e-05,20.8
187,0.16658,nan,nan,1.04e-05,20.5
188,0.16733,0.63381,0.74133,8.86e-06,20.6
189,0.15690,nan,nan,7.45e-06,20.5
190,0.16557,0.63335,0.74048,6.16e-06,20.9
191,0.16521,nan,nan,4.99e-06,20.7
192,0.16366,0.63367,0.74044,3.94e-06,22.0
193,0.16925,nan,nan,3.02e-06,20.3
194,0.15754,0.63338,0.74021,2.22e-06,21.1
