epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
122,0.22240,0.56356,0.67762,3.31e-04,21.0
123,0.21902,nan,nan,3.23e-04,21.4
124,0.21084,0.55521,0.64865,3.16e-04,20.8
125,0.22247,nan,nan,3.09e-04,21.3
126,0.21190,0.59533,0.68571,3.01e-04,21.1
127,0.21978,nan,nan,2.94e-04,21.7
128,0.21444,0.54424,0.66427,2.87e-04,20.7
129,0.21734,nan,nan,2.80e-04,20.8
130,0.22115,0.57559,0.68367,2.73e-04,20.8
131,0.20829,nan,nan,2.66e-04,21.3
132,0.22213,0.57809,0.68108,2.59e-04,20.7
133,0.20936,nan,nan,2.52e-04,21.6
134,0.20929,0.59185,0.71448,2.45e-04,20.5
135,0.20765,nan,nan,2.39e-04,21.9
136,0.20934,0.57343,0.68279,2.32e-04,21.6
137,0.20131,nan,nan,2.25e-04,22.0
138,0.21260,0.57577,0.67859,2.19e-04,21.2
139,0.21417,nan,nan,2.12e-04,21.4
140,0.20055,0.56502,0.66630,2.06e-04,21.1
141,0.20709,nan,nan,2.00e-04,21.7
142,0.20954,0.57370,0.67914,1.94e-04,21.4
143,0.21104,nan,nan,1.87e-04,21.0
144,0.20236,0.59907,0.70369,1.81e-04,20.5
145,0.20565,nan,nan,1.75e-04,21.3
146,0.21114,0.57374,0.70094,1.69e-04,20.7
147,0.20607,nan,nan,1.63e-04,21.2
148,0.20138,0.56758,0.67469,1.58e-04,20.3
149,0.19896,nan,nan,1.52e-04,21.6
150,0.19912,0.56306,0.68240,1.46e-04,20.6
151,0.20862,nan,nan,1.41e-04,21.1
152,0.19920,0.57457,0.69028,1.36e-04,20.9
153,0.21719,nan,nan,1.30e-04,22.2
154,0.19922,0.57798,0.69416,1.25e-04,21.0
155,0.19682,nan,nan,1.20e-04,21.3
156,0.20456,0.56110,0.68210,1.15e-04,21.1
157,0.20490,nan,nan,1.10e-04,21.4
158,0.19495,0.60029,0.68397,1.05e-04,20.4
159,0.19433,nan,nan,1.00e-04,21.4
160,0.19950,0.58498,0.68932,9.55e-05,20.7
161,0.19327,nan,nan,9.09e-05,21.4
162,0.20083,0.57512,0.69191,8.65e-05,21.0
163,0.19281,nan,nan,8.21e-05,21.4
164,0.20014,0.58154,0.69344,7.78e-05,20.9
165,0.19614,nan,nan,7.37e-05,21.1
166,0.19830,0.61557,0.69003,6.96e-05,20.8
167,0.20739,nan,nan,6.57e-05,21.7
168,0.20423,0.59203,0.70680,6.18e-05,20.7
169,0.19758,nan,nan,5.81e-05,21.0
170,0.19774,0.59547,0.70062,5.45e-05,20.6
171,0.19497,nan,nan,5.10e-05,21.5
172,0.19102,0.59290,0.69900,4.76e-05,20.5
173,0.20098,nan,nan,4.43e-05,22.1
174,0.19165,0.59803,0.69863,4.11e-05,21.1
175,0.19400,nan,nan,3.81e-05,21.4
176,0.19823,0.58606,0.69524,3.51e-05,20.8
177,0.19411,nan,nan,3.23e-05,22.2
178,0.20080,0.58804,0.69856,2.96e-05,22.2
179,0.20092,nan,nan,2.70e-05,22.2
180,0.18974,0.58613,0.69767,2.45e-05,23.7
181,0.19315,nan,nan,2.21e-05,21.8
182,0.19440,0.59481,0.69884,1.99e-05,20.6
183,0.19410,nan,nan,1.77e-05,21.5
184,0.19189,0.59874,0.70244,1.57e-05,20.9
185,0.19359,nan,nan,1.38e-05,21.3
186,0.19549,0.59208,0.69750,1.20e-05,20.6
187,0.19767,nan,nan,1.04e-05,21.6
188,0.20355,0.58984,0.69942,8.86e-06,20.6
189,0.18487,nan,nan,7.45e-06,21.2
190,0.20350,0.59469,0.69836,6.16e-06,20.5
191,0.19108,nan,nan,4.99e-06,21.1
192,0.19032,0.59489,0.69418,3.94e-06,20.9
193,0.20157,nan,nan,3.02e-06,21.4
194,0.18808,0.59609,0.69386,2.22e-06,20.9
195,0.19946,nan,nan,1.54e-06,21.3
196,0.19562,0.59557,0.69386,9.87e-07,20.5
