epoch,train_loss,val_dice_mean,val_dice_median,lr,epoch_time_s
122,0.17654,0.57310,0.65286,3.31e-04,86.1
123,0.16498,nan,nan,3.23e-04,98.5
124,0.16175,0.55033,0.62027,3.16e-04,89.7
125,0.16605,nan,nan,3.09e-04,99.9
126,0.16554,0.56840,0.64381,3.01e-04,86.2
127,0.17216,nan,nan,2.94e-04,100.0
128,0.16270,0.58445,0.65685,2.87e-04,89.0
129,0.16857,nan,nan,2.80e-04,96.1
130,0.16838,0.52737,0.60965,2.73e-04,89.1
131,0.16737,nan,nan,2.66e-04,97.1
132,0.15884,0.56899,0.64495,2.59e-04,85.1
133,0.15754,nan,nan,2.52e-04,98.0
134,0.15746,0.59053,0.67648,2.45e-04,87.7
135,0.16367,nan,nan,2.39e-04,96.7
136,0.17168,0.60870,0.67355,2.32e-04,84.1
137,0.16349,nan,nan,2.25e-04,95.4
138,0.16029,0.56677,0.62586,2.19e-04,89.6
139,0.14767,nan,nan,2.12e-04,98.8
140,0.16065,0.57475,0.63636,2.06e-04,87.6
