True_Risk_Category,A1_Mean_Bias,A3_Mean_Bias
Mild (1-100),49.05530520722635,38.491734225933335
Moderate (101-300),57.106966606781434,24.036333835833332
Mod-High (301-400),242.3598700643739,-77.3605474
Severe (401-1000),110.97360203852533,16.07465836890909
Extensive (1000+),-599.7711981565443,-894.8842569227272
